Runny nose,Cold
Sore throat,Cold
Dry Skin,Diabetes
Feeling very tired,Diabetes
Increased thirst,Diabetes
Frequent urination,Diabetes
Watery stools,Diarrhea
Bloody stools,Diarrhea
Bowel movements,Diarrhea
Dry Cough,Flu
Redness of eye,Pink Eye
Burning of eye,Pink Eye
Itching of eye,Pink Eye
Bloody nose,Tension
Chest Pain,Acne (pimples)
Cold,Acne (pimples)
Eye Problems,Acne (pimples)
Abdominal Pain,Allergic reaction
Chest Pain,Allergic reaction
Cold,Allergic reaction
Dental Problem,Allergic reaction
Loss of balance,Allergic reaction
Runny nose,Allergic reaction
Skin itching,Allergic reaction
Sleeping problem,Allergic reaction
Sneezing,Allergic reaction
Fever,Anxiety
Abdominal Pain,Anxiety disorder (generalized anxiety disorder GAD)
Chest Pain,Anxiety disorder (generalized anxiety disorder GAD)
Cough,Anxiety disorder (generalized anxiety disorder GAD)
Facial Pain,Anxiety disorder (generalized anxiety disorder GAD)
Headache,Anxiety disorder (generalized anxiety disorder GAD)
Overweight,Anxiety disorder (generalized anxiety disorder GAD)
Skin itching,Anxiety disorder (generalized anxiety disorder GAD)
Spontaneous bleeding,Anxiety disorder (generalized anxiety disorder GAD)
Weariness,Anxiety disorder (generalized anxiety disorder GAD)
Abdominal Pain,Appendicitis
Back Pain,Appendicitis
Overweight,Appendicitis
Abdominal Pain,Cellulitis (skin infection)
Abscess (Collection of pus),Cellulitis (skin infection)
Back Pain,Cellulitis (skin infection)
Chest Pain,Cellulitis (skin infection)
Cold,Cellulitis (skin infection)
Ear Problems,Cellulitis (skin infection)
Eye Problems,Cellulitis (skin infection)
Facial Pain,Cellulitis (skin infection)
Fever,Cellulitis (skin infection)
Hip Pain,Cellulitis (skin infection)
Leg Pain,Cellulitis (skin infection)
Muscle aches,Cellulitis (skin infection)
Sleeping problem,Cellulitis (skin infection)
Sneezing,Cellulitis (skin infection)
Vision Problem,Cellulitis (skin infection)
Chest Pain,Cholesterol
Back Pain,Cholesterol
Numbness,Cholesterol
Cold,Cholesterol
Cough,Cold
Sneezing,Cold
Abdominal Pain,Depression (excessive sadness)
Abnormal Heart Rate,Depression (excessive sadness)
Cough,Depression (excessive sadness)
Facial Pain,Depression (excessive sadness)
Headache,Depression (excessive sadness)
Seizure,Depression (excessive sadness)
Skin itching,Depression (excessive sadness)
Spontaneous bleeding,Depression (excessive sadness)
Weariness,Depression (excessive sadness)
Vision Problem,Diabetes
Numbness,Diabetes
Abdominal Pain,Diarrhea
Fever,Diarrhea
Abnormal Heart Rate,Flu
Back Pain,Flu
Fever,Flu
Headache,Flu
Shoulder Pain,Flu
Cold,Food allergy
Mouth Problems,Food allergy
Overweight,Food allergy
Skin itching,Food allergy
Abdominal Pain,Food poisoning
Overweight,Food poisoning
Abdominal Pain,Kidney stone (nephrolithiasis)
Arm Pain,Kidney stone (nephrolithiasis)
Facial Pain,Kidney stone (nephrolithiasis)
Overweight,Kidney stone (nephrolithiasis)
Swallowing problem (Dysphagia),Kidney stone (nephrolithiasis)
Abdominal Pain,Labyrinthitis (dizziness and vertigo)
Chest Pain,Labyrinthitis (dizziness and vertigo)
Overweight,Labyrinthitis (dizziness and vertigo)
Vision Problem,Labyrinthitis (dizziness and vertigo)
Abdominal Pain,Lactose intolerance
Headache,Lactose intolerance
Abdominal Pain,Migraine (type of headache)
Facial Pain,Migraine (type of headache)
Leg Pain,Migraine (type of headache)
Numbness,Migraine (type of headache)
Obesity,Migraine (type of headache)
Overweight,Migraine (type of headache)
Vision Problem,Migraine (type of headache)
Abscess (Collection of pus),Muscle strain (pulled muscle)
Facial Pain,Muscle strain (pulled muscle)
Fever,Muscle strain (pulled muscle)
Joint Pain,Muscle strain (pulled muscle)
Leg Pain,Muscle strain (pulled muscle)
Vision Problem,Muscle strain (pulled muscle)
Abdominal Pain,Myocardial infarction (heart attack)
Abscess (Collection of pus),Myocardial infarction (heart attack)
Arm Pain,Myocardial infarction (heart attack)
Fever,Myocardial infarction (heart attack)
Joint Pain,Myocardial infarction (heart attack)
Mouth Problems,Myocardial infarction (heart attack)
Overweight,Myocardial infarction (heart attack)
Skin itching,Myocardial infarction (heart attack)
Abdominal Pain,Scurvy (vitamin C deficiency)
Abnormal Heart Rate,Scurvy (vitamin C deficiency)
Abdominal Pain,Sinusitis (sinus infection)
Back Pain,Sinusitis (sinus infection)
Chest Pain,Sinusitis (sinus infection)
Leg Pain,Sinusitis (sinus infection)
Shoulder Pain,Sinusitis (sinus infection)
Skin itching,Sinusitis (sinus infection)
Abdominal Pain,Stress
Abnormal Heart Rate,Stress
Facial Pain,Stress
Headache,Stress
Skin itching,Stress
Spontaneous bleeding,Stress
Weariness,Stress
Frequent urination,Tension
Headache,Tension
Ear Problems,Tension
Chest Pain,Tonsillitis (tonsil infection)
Ear Problems,Tonsillitis (tonsil infection)
Leg Pain,Tonsillitis (tonsil infection)
Overweight,Tonsillitis (tonsil infection)
Skin itching,Tonsillitis (tonsil infection)
Abdominal Pain,Viral infections
Chest Pain,Viral infections
Cold,Viral infections
Leg Pain,Viral infections
Overweight,Viral infections
Shakes,Viral infections
Shoulder Pain,Viral infections
Skin itching,Viral infections
